,Type,Price,Contracts,Cum. Profit NONE,Profit %,total_value,payment,leverage
1146,Entry Short,4095.41,157.6505,1000978.6,4.86,1069571.2,645643.4342049999,0.5864268698819395
1148,Entry Short,4357.92,151.5831,997366.8,-0.55,1100978.6,660587.023152,0.6019746753337171
1150,Entry Long,4380.0,151.5328,976486.4,-3.15,1097366.8,663713.664,0.6165555496102877
1152,Entry Short,4243.93,153.8002,966607.75,-1.51,1076486.4,652717.282786,0.6119562536330718
1154,Entry Long,4306.45,302.4247,931330.06,-2.71,1066607.75,1302376.8493149998,1.2628128470482085
1156,Entry Short,4191.5,450.0858,880407.8,-2.7,1031330.06,1886534.6307,1.9242346202263996
1158,Entry Long,4302.94,586.8483,1005627.06,4.96,980407.8,2525173.0240019998,2.283928383592565
1160,Entry Short,4525.07,146.6002,1000973.06,-0.7,1105627.06,663376.167014,0.6025362391828188
1162,Entry Long,4555.0,145.3131,984061.7,-2.55,1100973.06,661901.1705,0.6105751826671859
1164,Entry Short,4440.42,147.57,975507.44,-1.31,1084061.7,655272.7794,0.6092684764691167
1166,Entry Long,4496.6,143.5838,1007619.44,4.97,1075507.44,645638.9150800001,0.582906810555799
1168,Entry Short,4705.65,141.2368,1040628.56,4.97,1107619.44,664610.94792,0.58267079330365
1170,Entry Long,4630.91,147.7845,1031183.6,-1.38,1140628.56,684376.718895,0.6050094068681688
1172,Entry Short,4568.84,149.143,1015846.1,-2.25,1131183.6,681410.50412,0.6106671019596699
1174,Entry Long,4669.83,144.2171,1003289.0,-1.86,1115846.1,673469.340093,0.6104196997278138
1176,Entry Short,4584.61,144.8114,1036341.06,4.98,1103289.0,663903.7925539999,0.5842469447984217
1178,Entry Long,4242.53,160.7074,1027571.9,-1.29,1136341.06,681805.965722,0.604667397016545
1180,Entry Short,4189.65,322.2063,1094544.4,4.96,1127571.9,1349931.6247949998,1.1300807444202157
1182,Entry Short,4366.41,161.5748,1083033.1,-1.63,1194544.4,705501.822468,0.5963500281336168
1184,Entry Short,4366.41,2.5782,1083016.5,-0.17,1183033.1,11257.478261999999,0.009515909762881582
1186,Entry Short,4307.22,164.7951,1117827.8,4.9,1183016.5,709808.750622,0.5828482077860269
1188,Entry Long,4251.93,171.8505,1154063.5,4.96,1217827.8,730696.2964650001,0.5826629165628376
1190,Entry Short,4488.92,167.6092,1134592.6,-2.59,1254063.5,752384.290064,0.6094190829136671
1192,Entry Long,4603.27,161.4909,1109203.0,-3.42,1234592.6,743386.2152430001,0.6147737106532154
1194,Entry Short,4447.86,163.578,1144513.6,4.85,1209203.0,727572.04308,0.5846236176768176
1196,Entry Short,4267.27,174.9849,1122734.8,-2.92,1244513.6,746707.8142230001,0.6106866462155163
1198,Entry Long,4390.0,169.461,1109609.9,-1.76,1222734.8,743933.79,0.6150195943336774
1200,Entry Short,4314.29,337.7084,1181963.0,4.97,1209609.9,1456971.9730359998,1.1365163994873486
1202,Entry Short,3969.03,193.7949,1220123.6,4.96,1281963.0,769177.7719470001,0.5826558755157472
1204,Entry Short,3960.01,200.0187,1213541.0,-0.83,1320123.6,792076.052187,0.6030082442702588
1206,Entry Long,3991.33,198.7066,1224154.4,1.34,1313541.0,793103.613778,0.5989510088687543
1208,Entry Short,4046.35,395.0782,1193874.1,-1.89,1324154.4,1598624.6745699998,1.2355334066660735
1210,Entry Long,4121.36,190.9716,1174758.1,-2.43,1293874.1,787062.7133759999,0.6174212294677711
1212,Entry Short,4022.89,192.123,1160498.0,-1.85,1274758.1,772889.6954699999,0.6131621751641018
1214,Entry Long,4095.49,185.2351,1149797.6,-1.41,1260498.0,758628.4996989999,0.6070010853749438
1216,Entry Short,4039.35,186.2251,1187095.6,4.96,1249797.6,752228.3576849999,0.5844386055589033
1218,Entry Short,3722.04,207.4828,1183972.6,-0.4,1287095.6,772259.280912,0.6014608730061685
1220,Entry Long,3735.6,413.7343,1203888.1,1.29,1283972.6,1545545.85108,1.185336265497016
1222,Entry Short,3785.24,620.4611,1163938.8,-1.7,1303888.1,2348594.174164,1.8581549788360006
